aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.000 precision:0.898 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:4280 false_negative:0 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.050 precision:0.899 recall:0.858 true_negative_rate:0.145 true_positive:32447 true_negative:621 false_positive:3659 false_negative:5348 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.100 precision:0.975 recall:0.714 true_negative_rate:0.840 true_positive:26968 true_negative:3595 false_positive:685 false_negative:10827 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.150 precision:0.992 recall:0.612 true_negative_rate:0.957 true_positive:23149 true_negative:4096 false_positive:184 false_negative:14646 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.200 precision:0.996 recall:0.535 true_negative_rate:0.981 true_positive:20234 true_negative:4198 false_positive:82 false_negative:17561 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.250 precision:0.998 recall:0.468 true_negative_rate:0.991 true_positive:17705 true_negative:4240 false_positive:40 false_negative:20090 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.300 precision:0.999 recall:0.414 true_negative_rate:0.995 true_positive:15633 true_negative:4259 false_positive:21 false_negative:22162 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.350 precision:0.999 recall:0.346 true_negative_rate:0.996 true_positive:13075 true_negative:4261 false_positive:19 false_negative:24720 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.400 precision:0.999 recall:0.276 true_negative_rate:0.997 true_positive:10433 true_negative:4269 false_positive:11 false_negative:27362 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.450 precision:0.999 recall:0.222 true_negative_rate:0.999 true_positive:8394 true_negative:4274 false_positive:6 false_negative:29401 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.500 precision:0.999 recall:0.176 true_negative_rate:0.999 true_positive:6659 true_negative:4274 false_positive:6 false_negative:31136 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.550 precision:0.999 recall:0.131 true_negative_rate:0.999 true_positive:4957 true_negative:4276 false_positive:4 false_negative:32838 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.600 precision:0.999 recall:0.092 true_negative_rate:0.999 true_positive:3461 true_negative:4276 false_positive:4 false_negative:34334 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.650 precision:0.999 recall:0.056 true_negative_rate:0.999 true_positive:2110 true_negative:4277 false_positive:3 false_negative:35685 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.700 precision:0.998 recall:0.026 true_negative_rate:1.000 true_positive:981 true_negative:4278 false_positive:2 false_negative:36814 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.750 precision:0.997 recall:0.010 true_negative_rate:1.000 true_positive:368 true_negative:4279 false_positive:1 false_negative:37427 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:90 true_negative:4280 false_positive:0 false_negative:37705 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:29 true_negative:4280 false_positive:0 false_negative:37766 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:20 true_negative:4280 false_positive:0 false_negative:37775 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:8 true_negative:4280 false_positive:0 false_negative:37787 
aces_publicb_ocount_60_osize_18_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4280 false_positive:0 false_negative:37794 
