edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.000 precision:0.819 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:9841 false_negative:0 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.050 precision:0.910 recall:0.714 true_negative_rate:0.681 true_positive:31835 true_negative:6698 false_positive:3143 false_negative:12752 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.100 precision:0.985 recall:0.447 true_negative_rate:0.970 true_positive:19914 true_negative:9545 false_positive:296 false_negative:24673 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.150 precision:0.994 recall:0.307 true_negative_rate:0.992 true_positive:13703 true_negative:9758 false_positive:83 false_negative:30884 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.219 true_negative_rate:0.999 true_positive:9762 true_negative:9830 false_positive:11 false_negative:34825 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.250 precision:0.999 recall:0.166 true_negative_rate:1.000 true_positive:7396 true_negative:9837 false_positive:4 false_negative:37191 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5699 true_negative:9839 false_positive:2 false_negative:38888 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4871 true_negative:9841 false_positive:0 false_negative:39716 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.088 true_negative_rate:1.000 true_positive:3943 true_negative:9841 false_positive:0 false_negative:40644 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3613 true_negative:9841 false_positive:0 false_negative:40974 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3327 true_negative:9841 false_positive:0 false_negative:41260 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3115 true_negative:9841 false_positive:0 false_negative:41472 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3030 true_negative:9841 false_positive:0 false_negative:41557 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2716 true_negative:9841 false_positive:0 false_negative:41871 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:714 true_negative:9841 false_positive:0 false_negative:43873 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:394 true_negative:9841 false_positive:0 false_negative:44193 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:21 true_negative:9841 false_positive:0 false_negative:44566 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9841 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9841 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9841 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_16_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9841 false_positive:0 false_negative:44586 
