aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.000 precision:0.842 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:7075 false_negative:0 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.050 precision:0.852 recall:0.871 true_negative_rate:0.190 true_positive:32929 true_negative:1345 false_positive:5730 false_negative:4866 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.100 precision:0.943 recall:0.730 true_negative_rate:0.766 true_positive:27595 true_negative:5416 false_positive:1659 false_negative:10200 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.150 precision:0.976 recall:0.628 true_negative_rate:0.919 true_positive:23749 true_negative:6503 false_positive:572 false_negative:14046 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.200 precision:0.985 recall:0.548 true_negative_rate:0.957 true_positive:20728 true_negative:6769 false_positive:306 false_negative:17067 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.250 precision:0.990 recall:0.484 true_negative_rate:0.975 true_positive:18310 true_negative:6895 false_positive:180 false_negative:19485 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.300 precision:0.993 recall:0.428 true_negative_rate:0.984 true_positive:16185 true_negative:6962 false_positive:113 false_negative:21610 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.350 precision:0.995 recall:0.365 true_negative_rate:0.990 true_positive:13781 true_negative:7006 false_positive:69 false_negative:24014 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.400 precision:0.996 recall:0.291 true_negative_rate:0.994 true_positive:10991 true_negative:7031 false_positive:44 false_negative:26804 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.450 precision:0.999 recall:0.234 true_negative_rate:0.999 true_positive:8842 true_negative:7065 false_positive:10 false_negative:28953 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.500 precision:0.999 recall:0.188 true_negative_rate:0.999 true_positive:7099 true_negative:7070 false_positive:5 false_negative:30696 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.142 true_negative_rate:1.000 true_positive:5378 true_negative:7073 false_positive:2 false_negative:32417 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3766 true_negative:7075 false_positive:0 false_negative:34029 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.066 true_negative_rate:1.000 true_positive:2489 true_negative:7075 false_positive:0 false_negative:35306 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.035 true_negative_rate:1.000 true_positive:1331 true_negative:7075 false_positive:0 false_negative:36464 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.012 true_negative_rate:1.000 true_positive:461 true_negative:7075 false_positive:0 false_negative:37334 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:72 true_negative:7075 false_positive:0 false_negative:37723 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:36 true_negative:7075 false_positive:0 false_negative:37759 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:7075 false_positive:0 false_negative:37771 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:7075 false_positive:0 false_negative:37783 
aces_publicb_ocount_100_osize_16_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:7075 false_positive:0 false_negative:37794 
