aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.000 precision:0.849 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:6727 false_negative:0 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.050 precision:0.880 recall:0.872 true_negative_rate:0.332 true_positive:32962 true_negative:2235 false_positive:4492 false_negative:4833 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.100 precision:0.971 recall:0.729 true_negative_rate:0.878 true_positive:27556 true_negative:5906 false_positive:821 false_negative:10239 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.150 precision:0.986 recall:0.627 true_negative_rate:0.952 true_positive:23707 true_negative:6402 false_positive:325 false_negative:14088 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.200 precision:0.992 recall:0.543 true_negative_rate:0.975 true_positive:20536 true_negative:6556 false_positive:171 false_negative:17259 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.250 precision:0.995 recall:0.480 true_negative_rate:0.986 true_positive:18145 true_negative:6636 false_positive:91 false_negative:19650 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.300 precision:0.996 recall:0.424 true_negative_rate:0.991 true_positive:16009 true_negative:6668 false_positive:59 false_negative:21786 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.350 precision:0.997 recall:0.362 true_negative_rate:0.995 true_positive:13694 true_negative:6691 false_positive:36 false_negative:24101 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.400 precision:0.997 recall:0.291 true_negative_rate:0.995 true_positive:11011 true_negative:6694 false_positive:33 false_negative:26784 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.450 precision:0.998 recall:0.235 true_negative_rate:0.997 true_positive:8894 true_negative:6705 false_positive:22 false_negative:28901 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.500 precision:0.998 recall:0.189 true_negative_rate:0.998 true_positive:7130 true_negative:6711 false_positive:16 false_negative:30665 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.550 precision:0.999 recall:0.142 true_negative_rate:1.000 true_positive:5383 true_negative:6724 false_positive:3 false_negative:32412 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.101 true_negative_rate:1.000 true_positive:3813 true_negative:6727 false_positive:0 false_negative:33982 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2524 true_negative:6727 false_positive:0 false_negative:35271 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1368 true_negative:6727 false_positive:0 false_negative:36427 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:572 true_negative:6727 false_positive:0 false_negative:37223 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:101 true_negative:6727 false_positive:0 false_negative:37694 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:41 true_negative:6727 false_positive:0 false_negative:37754 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:26 true_negative:6727 false_positive:0 false_negative:37769 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:14 true_negative:6727 false_positive:0 false_negative:37781 
aces_publicb_ocount_160_osize_13_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:6727 false_positive:0 false_negative:37794 
